barcode_range,barcode_short,trawl,data_file,suspected,final_call,mineral,nonplastic_om,plastic,notes,peaks_decreasing,image,h2o2,reader
5286-5287,5286,NK 0024-3,5286.8287.36,not plastic,M,4,0,0,"smooth in parts, layered in others","O, Si, Ca, Fe, W, P, Al",yes,yes,brendan
5286-5287,5286,NK 0024-3,5286.8287.37,not plastic,P,0,1,3,"lumpy texture, w/ some cracks","C, O, Fe, Si, Al",yes,yes,brendan
5286-5287,5286,NK 0024-3,5286.8287.38,not plastic,M,3,1,0,smooth disc looking thing,"C, O, Si, Ti",yes,yes,brendan
5286-5287,5286,NK 0024-3,5286.8287.39,not plastic,NP-P,0,2,3,"pitted texture, jagged edges","C, O, Fe, Cl",yes,yes,brendan
5286-5287,5286,NK 0024-3,5286.8287.40,not plastic,NP-P,0,2,2,"lumpy and pitted texture, smoother in parts","C, O, Fe, Si, Al",yes,yes,brendan
5024-5026,5024,NK 0005-3,5024.5026.1,not plastic,M,4,0,0,huge Si relative to rest,"Si, O, N, C",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.2,not plastic,NP,0,3,1,P was also seen in OM standard 2 and 3,"C, O, Ti, Si, P, Fe, Al, Ca",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.3,not plastic,NP,0,3,2,"surface looks like plastic, flaky and smooth","C, O, Fe, Cu",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.4,not plastic,NP,0,3,2,"surface looks like plastic, Si looks like beads","C, O, Si, Fe",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.5,not plastic,NP,0,3,2,"smooth like plastic, but Al notable towards non-plastic","C, Si, Al, O, Cu",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.6,not plastic,M,4,0,0,looks like a chunk of rock,"Si, Al, O, C, Fe, Ti, Ca",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.7,not plastic,NP,0,3,1,"looks chunky, high topography","C, F, O, Ca, Fe, P, Cu",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.8,not plastic,NP-P,0,3,3,"round, chunky, kind of bubbly","C, O, Si, Cu",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.9,not plastic,NP,0,3,1,not smooth,"C, F, O, Fe",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.10,not plastic,P,0,2,3,"smooth, fractured, step-like","C, O, Si",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.31,plastic,P,0,1,4,"round, smooth, cracked down the middle","C, Fe",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.32,plastic,NP-P,0,2,2,"flakes, weird rough quinoa surface matrix","C, O, Na, Fe",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.33,plastic,P,0,0,4,"wavey, smooth and rough","C, O",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.34,plastic,P,0,0,4,"very smooth, straight fractures","C, O",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.35,plastic,P,0,1,4,"lumpy smooth, attached particles (cells?)","C, O, Si",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.36,plastic,P,0,0,4,"smoooooooth, some fractured flakes",C,yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.37,NA,NA,NA,NA,NA,duplicate of .35,NA,NA,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.38,plastic,P,0,0,4,"bubbly, smooth, molten","C, O",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.39,plastic,P,0,2,3,possible elemental signal from biofilm,"C, Na, Fe, O",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.40,plastic,NP-P,0,2,2,smooth with crusty film,"C, O, Fe, Sn",yes,yes,"rachel, brendan, melissa"
5024-5026,5024,NK 0005-3,5024.5026.41,plastic,P,0,1,3,"very smooth, a little flaky","C, O, Fe",yes,yes,"rachel, brendan, melissa"
